ID,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
1,337,118,4,4.5,4.5,9.65,1,0.92
2,322,110,3,3.5,2.5,8.67,1,0.8
3,314,103,2,2,3,8.21,0,0.65
4,330,115,5,4.5,3,9.34,1,0.9
5,321,109,3,3,4,8.2,1,0.75
6,308,101,2,3,4,7.9,0,0.68
7,302,102,1,2,1.5,8,0,0.5
8,323,108,3,3.5,3,8.6,0,0.45
9,325,106,3,3.5,4,8.4,1,0.52
10,327,111,4,4,4.5,9,1,0.84
11,328,112,4,4,4.5,9.1,1,0.78
12,307,109,3,4,3,8,1,0.62
13,319,106,3,4,3,8,1,0.65
14,303,102,3,3.5,3,8.5,0,0.62
15,312,107,3,3,2,7.9,1,0.64
16,328,116,5,5,5,9.5,1,0.94
17,334,119,5,5,4.5,9.7,1,0.95
18,322,109,5,4.5,3.5,8.8,0,0.76
19,298,98,2,1.5,2.5,7.5,1,0.44
20,295,93,1,2,2,7.2,0,0.46
21,300,97,2,3,3,8.1,1,0.65
22,340,114,5,4,4,9.6,1,0.9
23,299,106,2,4,4,8.4,0,0.64
24,307,108,2,4,3.5,7.7,0,0.48
25,316,105,2,2.5,2.5,8.2,1,0.49
26,313,107,2,2.5,2,8.5,1,0.53
27,326,113,5,4.5,4,9.4,1,0.91
28,322,110,5,5,4,9.1,1,0.88
29,329,114,5,4,5,9.3,1,0.86
30,321,110,3,3.5,5,8.85,1,0.82
31,327,111,4,3,4,8.4,1,0.78
32,313,98,3,2.5,4.5,8.3,1,0.76
33,312,100,2,1.5,3.5,7.9,1,0.56
34,324,112,4,4,2.5,8.1,1,0.72
35,322,110,3,3,3.5,8,0,0.7
36,320,103,3,3,3,7.7,0,0.64
37,316,102,3,2,3,7.4,0,0.64
38,311,104,2,2,2,8.3,0,0.42
39,309,100,2,3,3,8.1,0,0.48
40,315,107,2,4,3,8.5,1,0.56
41,325,111,3,3,3.5,8.7,0,0.52
42,327,114,3,3,3,9.02,0,0.61
43,316,107,2,3.5,3.5,8.64,1,0.57
44,318,109,3,3.5,4,9.22,1,0.68
45,332,118,5,5,5,9.64,1,0.94
46,336,112,5,5,5,9.76,1,0.96
47,314,108,4,4.5,4,9.04,1,0.84
48,314,106,3,3,5,8.9,0,0.74
49,327,112,3,3,3,8.72,1,0.74
50,301,99,2,3,2,8.22,0,0.64
51,294,93,1,1.5,2,7.36,0,0.46
52,320,110,5,5,4.5,9.22,1,0.92
53,322,115,5,4,4.5,9.36,1,0.92
54,319,103,4,4.5,3.5,8.66,0,0.76
55,315,106,3,4.5,3.5,8.42,0,0.72
56,317,107,2,3.5,3,8.28,0,0.66
57,299,97,3,5,3.5,7.66,0,0.38
58,298,98,2,4,3,8.03,0,0.34
59,301,97,2,3,3,7.88,1,0.44
60,304,100,4,1.5,2.5,7.84,0,0.42
61,306,100,2,3,3,8,0,0.48
62,331,120,3,4,4,8.96,1,0.86
63,332,119,4,5,4.5,9.24,1,0.9
64,323,113,3,4,4,8.88,1,0.79
65,322,107,3,3.5,3.5,8.46,1,0.71
66,314,106,2,4,3.5,8.25,0,0.62
67,317,104,2,4.5,4,8.47,0,0.57
68,326,112,3,3.5,3,9.05,1,0.74
69,316,110,3,4,4.5,8.78,1,0.69
70,329,111,4,4.5,4.5,9.18,1,0.87
71,331,116,5,5,5,9.38,1,0.93
72,305,108,5,3,3,8.48,0,0.61
73,301,107,3,3.5,3.5,8.34,1,0.62
74,320,110,2,4,3.5,8.56,0,0.72
75,310,106,4,4.5,4.5,9.04,1,0.66
76,299,102,3,4,3.5,8.62,0,0.56
77,290,104,4,2,2.5,7.46,0,0.45
78,327,104,5,3,3.5,8.84,1,0.71
79,335,117,5,5,5,9.56,1,0.94
80,334,119,5,4.5,4.5,9.48,1,0.94
81,308,108,3,3.5,3.5,8.22,0,0.61
82,301,106,4,2.5,3,8.47,0,0.57
83,300,100,3,2,3,8.66,1,0.64
84,323,113,3,4,3,9.32,1,0.85
85,319,112,3,2.5,2,8.71,1,0.78
86,326,112,3,3.5,3,9.1,1,0.84
87,333,118,5,5,5,9.35,1,0.92
88,339,114,5,4,4.5,9.76,1,0.96
89,309,105,5,3.5,3.5,8.56,0,0.71
90,323,112,5,4,4.5,8.78,0,0.79
91,314,109,4,3.5,4,8.77,1,0.82
92,312,103,3,5,4,8.45,0,0.76
93,316,100,2,1.5,3,8.16,1,0.71
94,326,116,2,4.5,3,9.08,1,0.8
95,329,110,2,4,3,9.15,1,0.84
96,331,115,5,4,3.5,9.44,1,0.92
97,340,120,4,4.5,4,9.92,1,0.97
98,325,112,2,3,3.5,8.96,1,0.8
99,320,113,2,2,2.5,8.64,1,0.81
100,339,116,4,4,3.5,9.8,1,0.96
101,334,114,4,4,4,9.43,1,0.93
102,332,116,5,5,5,9.28,1,0.94
103,321,112,5,5,5,9.06,1,0.86
104,324,105,3,3,4,8.75,0,0.79
105,326,108,3,3,3.5,8.89,0,0.8
106,312,109,3,3,3,8.69,0,0.77
107,315,105,3,2,2.5,8.34,0,0.7
108,297,100,1,1.5,2,7.9,0,0.52
109,315,103,1,1.5,2,7.86,0,0.57
110,298,99,1,1.5,3,7.46,0,0.53
111,318,109,3,3,3,8.5,0,0.67
112,317,105,3,3.5,3,8.56,0,0.68
113,329,111,4,4.5,4,9.01,1,0.81
114,313,102,3,2,3,8.27,0,0.64
115,293,97,2,2,4,7.8,1,0.64
116,311,99,2,2.5,3,7.98,0,0.65
117,312,101,2,2.5,3.5,8.04,1,0.68
118,334,117,5,4,4.5,9.07,1,0.89
119,322,110,4,4,5,9.13,1,0.86
120,323,113,4,4,4.5,9.23,1,0.89
121,321,111,4,4,4,8.97,1,0.87
122,329,119,4,4.5,4.5,9.16,1,0.9
123,309,108,3,2.5,3,8.12,0,0.72
124,307,102,3,3,3,8.27,0,0.73
125,300,104,3,3.5,3,8.16,0,0.71
126,314,110,3,4,4,8.8,0,0.75
127,335,118,5,4.5,3.5,9.44,1,0.93
128,331,115,5,4.5,3.5,9.36,1,0.93
129,324,112,5,5,5,9.08,1,0.88
130,324,111,5,4.5,4,9.16,1,0.9
131,323,110,5,4,5,8.98,1,0.87
132,322,114,5,4.5,4,8.94,1,0.86
133,316,109,3,3.5,3,8.76,0,0.77
134,307,107,2,3,3.5,8.52,1,0.78
135,310,106,2,3.5,2.5,8.33,0,0.73
136,311,104,3,4.5,4.5,8.43,0,0.7
137,313,107,3,4,4.5,8.69,0,0.72
138,317,103,3,2.5,3,8.54,1,0.73
139,315,110,2,3.5,3,8.46,1,0.72
140,340,120,5,4.5,4.5,9.91,1,0.97
141,334,120,5,4,5,9.87,1,0.97
142,298,105,3,3.5,4,8.54,0,0.69
143,295,99,2,2.5,3,7.65,0,0.57
144,315,99,2,3.5,3,7.89,0,0.63
145,310,102,3,3.5,4,8.02,1,0.66
146,301,104,3,3.5,4,8.12,1,0.68
147,338,120,4,5,5,9.66,1,0.95
148,330,116,5,5,4.5,9.36,1,0.93
149,324,110,4,3,3.5,8.97,1,0.84
150,312,104,3,3.5,3.5,8.42,0,0.74
151,313,103,3,4,4,8.75,0,0.76
152,316,110,3,3.5,4,8.56,0,0.75
153,324,113,4,4.5,4,8.79,0,0.76
154,305,105,2,3,2,8.23,0,0.67
155,306,110,2,3.5,4,8.45,0,0.63
156,312,110,2,3.5,3,8.53,0,0.64
157,318,112,3,4,3.5,8.67,0,0.71
158,313,104,3,4,4.5,8.65,0,0.73
159,319,106,3,3.5,2.5,8.33,1,0.74
160,312,107,2,2.5,3.5,8.27,0,0.69
161,304,100,2,2.5,3.5,8.07,0,0.64
162,329,114,5,4.5,5,9.19,1,0.86
163,310,104,3,2,3.5,8.37,0,0.7
164,317,103,2,2.5,2,8.15,0,0.65
165,325,114,3,3.5,3,9.04,1,0.76
166,314,107,2,2.5,4,8.56,0,0.63
167,316,105,3,3,3.5,8.73,0,0.72
168,311,104,2,2.5,3.5,8.48,0,0.71
169,324,110,3,3.5,4,8.87,1,0.8
170,321,111,3,3.5,4,8.83,1,0.77
171,320,104,3,3,2.5,8.57,1,0.74
172,316,99,2,2.5,3,9,0,0.7
173,318,100,2,2.5,3.5,8.54,1,0.71
174,335,115,4,4.5,4.5,9.68,1,0.93
175,307,110,4,4,4.5,8.37,0,0.79
176,309,99,3,4,4,8.56,0,0.76
177,324,100,3,4,5,8.64,1,0.78
178,326,102,4,5,5,8.76,1,0.77
179,331,119,4,5,4.5,9.34,1,0.9
180,327,108,5,5,3.5,9.13,1,0.87
181,312,104,3,3.5,4,8.09,0,0.71
182,324,111,3,2.5,1.5,8.79,1,0.7
183,325,110,2,3,2.5,8.76,1,0.75
184,312,105,2,2,2.5,8.45,0,0.72
185,314,107,3,3,3.5,8.17,1,0.73
186,327,113,4,4.5,5,9.14,0,0.83
187,308,108,4,4.5,5,8.34,0,0.77
188,306,105,2,2.5,3,8.22,1,0.72
189,299,96,2,1.5,2,7.86,0,0.54
190,294,95,1,1.5,1.5,7.64,0,0.49
191,312,99,1,1,1.5,8.01,1,0.52
192,315,100,1,2,2.5,7.95,0,0.58
193,329,113,5,5,4.5,9.45,1,0.89
194,320,101,2,2.5,3,8.62,0,0.7
195,308,103,2,3,3.5,8.49,0,0.66
196,304,102,2,3,4,8.73,0,0.67
197,312,106,3,4,3.5,8.79,1,0.81
198,340,112,4,5,4.5,9.66,1,0.94
199,331,116,5,4,4,9.26,1,0.93
200,324,114,5,5,4.5,9.08,1,0.89
201,314,104,4,5,5,9.02,0,0.82
202,313,109,3,4,3.5,9,0,0.79
203,307,105,2,2.5,3,7.65,0,0.58
204,300,102,2,1.5,2,7.87,0,0.56
205,316,101,2,2.5,2,8.32,1,0.61
206,317,100,2,3,2.5,8.57,0,0.68
207,320,120,3,4,4.5,9.11,0,0.86
208,309,106,2,2.5,2.5,8,0,0.62
209,322,105,2,3,3,8.45,1,0.65
210,313,106,2,2.5,2,8.43,0,0.62
211,321,109,3,3.5,3.5,8.8,1,0.74
212,325,112,4,4,4,9,1,0.8
213,312,108,3,3.5,3,8.53,0,0.69
214,308,110,4,3.5,3,8.6,0,0.7
215,328,108,4,4.5,4,9.18,1,0.84
216,311,107,4,4.5,4.5,9,1,0.78
217,305,105,2,3,4,8.13,0,0.66
218,308,104,2,2.5,3,8.07,0,0.65
219,298,101,2,1.5,2,7.86,0,0.54
220,317,106,3,4,3.5,8.5,1,0.75
221,323,104,3,4,4,8.44,1,0.73
222,326,116,3,3.5,4,9.14,1,0.81
223,299,100,3,2,2,8.02,0,0.63
224,324,112,4,4,3.5,8.77,1,0.8
225,297,96,2,2.5,1.5,7.89,0,0.43
226,311,105,2,3,2,8.12,1,0.73
227,308,106,3,3.5,2.5,8.21,1,0.75
228,325,111,4,4,4.5,9.11,1,0.83
229,319,110,3,3,2.5,8.79,0,0.72
230,332,118,5,5,5,9.47,1,0.94
231,323,108,5,4,4,8.74,1,0.81
232,312,107,3,3,3,8.46,1,0.75
233,326,110,3,3.5,3.5,8.76,1,0.79
234,308,106,3,3,3,8.24,0,0.58
235,305,103,2,2.5,3.5,8.13,0,0.59
236,295,96,2,1.5,2,7.34,0,0.47
